c	c	문재 의원 소환 유신독재 일련 과정 김기춘 비서실장 거론 만 일 윤석열 지청 장 중징계 조영곤 지검장 면죄부 결정 대검 철창 감찰 위원회 의견 무시 채 것 이 번 결정 누구
c	c	【서울=뉴시스】박대 기 민주 당 정청래 의원 통합 진보당 이정희 대표 박근혜 씨 발언 논란 관련 환생 경제 연극 예 박근혜 대통령 새누리당 비난 것 12 일 의원 전날 자신 트위터
c	c	【수원=뉴시스】노수정 기 내란음모 혐의 기소 통합 진보당 이석기 의원 첫 공판 검찰 변호인단 지하 혁명조직 RO 실체 공방 12 일 오후 수원지 법 형사12부(부장판사 김정운) 심리
e	e	리 누드 사진 유출 논란 지 이틀 만 한국 이 날 리 누드 유출 사건 공식입장 언급 채 묵묵부답 일관 공항 이후 리 14 일 진행
c	c	핵ㆍ미사 불용…역사퇴행적 언동 우려 (서울=연합뉴스) 김남권 기 박근혜 대통령 13 일 공식 방한 한 블라디미르 푸틴 러시아 대통령 정상회담 '유라시아 이니셔티브' 관련 협력 한 반 평화 구축 양국 노력
e	e	연출 김정호 장준호) 속 임예진 하차 소식 추 연장 설 직후 다음 아고라 이슈 청원 게시판 오로라 공주 연장 반대 종영 요구 제목 청원 게재 청원 화제 포털사이트 실시간 검색어
c	c	【서울=뉴시스】이국현 기 새누리당 최경환 원내 대표 13 일 국회 선진화 법 개정안 마련 시 내 출하 최 원내 대표 이 날 오전 여의 새누리당 당사 최고 중진 연석회의 참석 의회 민주주의 원리
c	c	기 김진태 검찰총장 후보자 13 병역면제 삼성 특혜 입사 등 아들 관련 의혹 반박 후보자 이 날 오전 국회 인사 청문회 출석 아들 삼성 특혜 입사 의혹 민주 당 박범계 의원 질의 대학생 들 선호 제1직장 삼성 아들 경영학 부 1 학년 때 공부 데 첫 응시 때 면접 인턴 떨어졌다"며 공부 필기 면접 합격 설명 그 지금 아들 근무 곳 대 한 곳 지망 사람 강조 아들 사구체 신염 병역면제 것 후보자 "코이카 시험 과정 소변 피 재검 통보 재검 마찬가지였다"며 직후 코이카 불합격 사구체 신염 현역 해명
c	c	(서울=연합뉴스) 송수경 강건 택 박경준 기 김진태 검찰총장 후보자 13 일 국회 법제 사법위원회 인사 청문회 삼성 떡값 아들 병역 의혹 '윤석열 사태 등 치열 공방
e	e	윤정수 파산 신청 사실 가운데 윤정수 과거 발언 주목 11월12 법조계 등 개그맨 윤정수 서울중앙지방법원 개인 파산 신청 윤정수 과거 방송 경매 집 심경
c	c	문형 표 복지장관 후보 적정 범위 내 담뱃값 인상 필요 (서울=연합뉴스) 신호 경 기 국민 건강 보호 세수 부족 등 배경 정부 여당 내 2004 년 이후 담뱃값 인상 론 주목 일 단 현오석
e	e	십 여명 IP 주소 들 증거 등 경찰 최종 기소 악플러 4 명 불과 2 세 불쌍 백지 영 담배 나 자업자득 등 모욕감 글 유산 백지 영
s	s	설정 지 이 날 오후 올해 FA 1 호 수 강민호 원소속구단 롯데 4 년 총액 75 억 원 잔류 공식 선언 때문 강민호 계약조건 그간 협상 과정 추정 액 흡사 전체 FA 시장 파괴력
c	c	KTX 산천 304km 속도 운행 하이옌 상상 초월 속도임ㄷㄷㄷ 태풍 필리핀 중부 도시 타클로반 강타 1 2 천 명 사상자 1 천 만여 명 이재민 발생 인도차이 반도 중국 남부 지방
c	c	원출처 본인 글 경우 부분 삭제 앵커 민망 소식인데요, 한국관광 공사 이참 사 장 일 본 성 퇴폐 업소 향응 폭 사정 기관 확인 서복현 기자
